"rank","doc_index","topic_probability","topic_letter","topic_number"
33,23761,0.111831560024648,"YY",51
34,23799,0.111808230012312,"YY",51
35,24186,0.110804891211186,"YY",51
36,13169,0.110634806794581,"YY",51
37,13876,0.110602601414744,"YY",51
38,300,0.110270391113508,"YY",51
39,15721,0.110131977031345,"YY",51
40,15692,0.109978456226348,"YY",51
41,1271,0.109366609255163,"YY",51
42,11966,0.1084654231075,"YY",51
43,15489,0.10707593114234,"YY",51
44,8060,0.106864278896379,"YY",51
45,12279,0.106562739742532,"YY",51
46,15079,0.105857440066475,"YY",51
47,13464,0.105457876724194,"YY",51
48,23094,0.105083770129601,"YY",51
49,7281,0.104873008490169,"YY",51
50,13740,0.104485309634355,"YY",51
1,12204,0.576265797175079,"DDD",56
2,14064,0.55458117279821,"DDD",56
3,4766,0.516823359960421,"DDD",56
4,7987,0.50506584017539,"DDD",56
5,8076,0.502523320993247,"DDD",56
6,24293,0.494940825840705,"DDD",56
7,8008,0.494520225309561,"DDD",56
8,23891,0.488702354947548,"DDD",56
9,6954,0.456207255190357,"DDD",56
10,11389,0.446850572084903,"DDD",56
11,2043,0.44291194381347,"DDD",56
12,10389,0.441526761559818,"DDD",56
13,4290,0.437587359699951,"DDD",56
14,23301,0.43293124582345,"DDD",56
15,5340,0.421857959414309,"DDD",56
16,5240,0.408138779313651,"DDD",56
17,5690,0.397709010932337,"DDD",56
18,5210,0.386561445069979,"DDD",56
19,1942,0.381584500144146,"DDD",56
20,15309,0.366796930924911,"DDD",56
21,4291,0.36662511539572,"DDD",56
22,4292,0.366257812314708,"DDD",56
23,23715,0.36292605033512,"DDD",56
24,23671,0.352673325672551,"DDD",56
25,1613,0.349819090629737,"DDD",56
26,6271,0.3496762444987,"DDD",56
27,21566,0.345691992578036,"DDD",56
28,9296,0.342778026493246,"DDD",56
29,17174,0.341199494816855,"DDD",56
30,23204,0.340977060802205,"DDD",56
31,17264,0.335698541795685,"DDD",56
32,6580,0.33051157822513,"DDD",56
33,14028,0.328010832148554,"DDD",56
34,13969,0.326323415028968,"DDD",56
35,25630,0.319455239020705,"DDD",56
36,25497,0.317070820195245,"DDD",56
37,3737,0.313079835047904,"DDD",56
38,12107,0.312889289704501,"DDD",56
39,12490,0.308437569295983,"DDD",56
40,3818,0.307764912156102,"DDD",56
